gen,k1,k2,f,w,paramsMuted
279898,10000033.5477,100000200.155,337.97337605,0.998316639263,k1
281291,10000030.4755,100000190.968,325.427952306,0.998349718268,f k1 k2
281316,10000030.4755,100000177.075,332.42697005,0.998331137803,f k2
281819,10000030.4755,100000128.644,335.210337659,0.998323837996,f k2
284136,10000008.8865,100000082.977,353.646319228,0.998276705299,f k1 k2
288232,10000008.8865,100000077.382,353.646319228,0.998276705345,k2
289461,10000019.9424,100000077.382,343.398079789,0.998302649176,f k1
289661,10000019.9424,100000100.529,350.848796953,0.998283724346,f k2
289958,9999992.63674,100000100.529,355.199589499,0.998272828542,f k1
290892,9999974.8686,100000105.611,346.930805099,0.998293638134,f k1 k2
292042,9999974.8686,100000114.134,341.320456655,0.998307990142,f k2
292473,9999974.8686,100000123.122,337.202944351,0.998318647149,f k2
293835,9999990.3287,100000123.122,362.332529594,0.998255197734,f k1
298937,9999991.56637,100000123.122,362.332529594,0.998255197625,k1
299245,10000006.3225,100000144.126,362.332529594,0.998255196151,k1 k2
301282,10000017.9394,100000169.7,365.234100097,0.998248105064,f k1 k2
303513,10000017.9394,100000140.563,333.364460245,0.998328674768,f k2
304681,10000038.554,100000136.007,333.364460245,0.998328673015,k1 k2
304815,10000047.2727,100000136.007,294.518231528,0.998435886428,f k1
305573,10000050.2066,100000109.7,276.070076088,0.998490857945,f k1 k2
305699,10000035.7136,100000109.7,236.173589326,0.998620536462,f k1
305958,10000035.7136,100000121.788,236.173589326,0.998620536372,k2
308035,10000035.7136,100000152.763,215.50622807,0.998694586314,f k2
308788,10000025.0943,100000152.763,187.814947375,0.99880283929,f k1
312785,10000025.0943,100000152.763,153.939502646,0.998952790417,f
317020,10000042.2368,100000184.915,160.851280369,0.998920370472,f k1 k2
320184,10000020.1609,100000220.341,147.012063301,0.998986343438,f k1 k2
322344,10000020.1609,100000220.341,134.946880357,0.999047542767,f
323413,10000037.0013,100000228.441,136.605999378,0.999038905368,f k1 k2
325969,10000037.0013,100000228.441,85.928419789,0.99934275202,f
326494,10000033.2059,100000249.709,85.928419789,0.999342752131,k1 k2
329747,10000010.6508,100000249.709,113.708804686,0.999165088323,f k1
332510,9999999.33654,100000249.709,113.708804686,0.99916508907,k1
336319,9999999.33654,100000267.18,113.708804686,0.999165088966,k2
336338,9999986.79944,100000277.149,110.039077552,0.999186851646,f k1 k2
337517,9999986.79944,100000286.417,110.039077552,0.999186851591,k2
338230,9999968.75353,100000286.417,92.0956758599,0.999300543047,f k1
339996,9999967.82422,100000286.417,92.0956758599,0.999300543103,k1
344022,9999996.69262,100000265.624,92.0956758599,0.999300541455,k1 k2
344732,9999999.46688,100000265.624,92.0956758599,0.999300541285,k1
349503,9999977.59045,100000263.173,76.6405795282,0.999409822639,f k1 k2
351505,9999977.59045,100000252.345,49.2065894231,0.999637687421,f k2
351987,9999974.10849,100000271.477,36.2579171092,0.99976363783,f k1 k2
352889,9999974.10849,100000274.466,15.3685948302,0.999974246938,f k2
356344,9999981.13523,100000280.697,15.3685948302,0.999974246848,k1 k2
356890,9999981.13523,100000282.23,15.3685948302,0.999974246847,k2
357374,9999998.08222,100000282.23,15.3685948302,0.999974246645,k1
361394,9999998.08222,100000258.2,15.3685948302,0.99997424667,k2
361586,10000032.7796,100000244.089,19.3803816197,0.999938439195,f k1 k2
362541,10000044.0384,100000231.924,36.1045644052,0.999765198752,f k1 k2
364340,10000049.6852,100000249.508,49.6621539218,0.999633480089,f k1 k2
365688,10000049.6852,100000253.156,49.6621539218,0.999633480074,k2
367723,10000061.1193,100000243.261,72.8778450819,0.999438291137,f k1 k2
369130,10000067.9271,100000236.389,72.8778450819,0.999438290795,k1 k2
