gen,k1,k2,f,w,paramsMuted
830293,10000105.0325,99999887.6941,10.8102841854,0.999916681268,k1 k2
832973,10000105.0325,99999830.6823,10.8102841854,0.999916682312,k2
842151,10000106.324,99999830.6823,10.8102841854,0.99991668204,k1
845830,10000101.8237,99999830.6823,10.8102841854,0.99991668299,k1
848545,10000099.3953,99999796.5829,10.8102841854,0.999916684127,k1 k2
858235,10000147.9991,99999796.5829,10.8102841854,0.999916673864,k1
862899,10000148.4252,99999796.5829,10.8102841854,0.999916673774,k1
880259,10000148.4252,99999807.4339,10.8102841854,0.999916673575,k2
883290,10000148.4252,99999799.5617,10.8102841854,0.999916673719,k2
884946,10000148.4252,99999793.9889,10.8102841854,0.999916673821,k2
889393,10000148.4252,99999793.9889,9.99382506102,0.999999995001,f
889890,10000199.9282,99999793.9889,9.99382506102,0.999999995085,k1
892045,10000191.2134,99999773.892,9.99382506102,0.999999995068,k1 k2
896364,10000195.8522,99999751.6144,9.99382506102,0.999999995072,k1 k2
899060,10000205.705,99999747.4075,9.99382506102,0.999999995087,k1 k2
900411,10000246.4317,99999740.2132,9.99382506102,0.999999995152,k1 k2
902729,10000231.9722,99999762.7173,9.99382506102,0.999999995132,k1 k2
906353,10000231.9722,99999774.8863,9.99382506102,0.999999995134,k2
908090,10000253.5763,99999753.4273,10.9224710259,0.999893051662,f k1 k2
920870,10000257.1473,99999736.6649,10.9224710259,0.999893051155,k1 k2
924390,10000256.364,99999709.109,10.9224710259,0.999893051915,k1 k2
926138,10000256.364,99999709.2123,10.9224710259,0.999893051913,k2
935591,10000266.3587,99999709.2123,10.9224710259,0.999893049521,k1
937337,10000266.3587,99999681.8279,10.9224710259,0.999893050089,k2
940775,10000234.1748,99999674.9392,10.9224710259,0.999893057936,k1 k2
942804,10000234.1748,99999655.5141,10.9224710259,0.999893058339,k2
942925,10000207.8819,99999655.5141,10.9224710259,0.999893064633,k1
953604,10000235.4755,99999674.6646,10.9224710259,0.99989305763,k1 k2
