gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
152,0.99999911554,6.68450413117e-13,42724.6649583,59725.6210583,0.0,10000016.1652,100000080.786,100
153,0.999999101105,6.59689200209e-13,44023.905807,61689.1371556,0.0,10000012.5029,100000066.449,100
154,0.999999132588,6.02601207277e-13,40784.8701584,61851.7805219,0.0,10000014.0557,100000069.799,100
155,0.999999068986,7.527318705e-13,48192.7554033,67092.2870408,0.0,10000023.3647,100000071.571,100
156,0.999999058927,7.961071258e-13,49100.6517206,66527.5981318,0.0,10000027.2435,100000074.821,100
157,0.999999090999,7.30236011621e-13,45870.7202547,69700.0682651,0.0,10000024.2152,100000066.516,100
158,0.999999074822,7.84530876254e-13,47718.2740867,75263.7847222,0.0,10000037.9221,100000056.712,100
159,0.999999024104,8.98091537015e-13,52107.1738433,75871.0827962,0.0,10000045.246,100000063.459,100
160,0.999999030542,7.94617264265e-13,49288.138362,77802.0689151,0.0,10000042.6039,100000068.743,100
161,0.999999034997,8.23890104216e-13,50042.0827737,83624.6453119,0.0,10000044.2357,100000075.319,100
162,0.999999027747,7.93561011475e-13,49859.5376014,83430.6172174,0.0,10000037.8617,100000080.701,100
163,0.999998964194,8.40467898984e-13,54359.1764316,88663.7550853,0.0,10000050.7818,100000081.67,100
164,0.999999006557,8.0619961156e-13,51421.9560412,94413.5420663,0.0,10000049.0258,100000062.34,100
165,0.999999004185,8.0928882535e-13,52600.4501761,88768.7378303,0.0,10000040.0158,100000064.512,100
166,0.999999009329,7.57279784423e-13,51044.4685448,80091.8834539,0.0,10000034.4685,100000065.722,100
167,0.999999013312,7.96894263624e-13,51782.5126319,79156.753672,0.0,10000024.7678,100000072.057,100
168,0.999999007704,7.76536121059e-13,52396.1608138,74401.1880681,0.0,10000018.8013,100000069.028,100
169,0.999998962641,9.31969215499e-13,58301.4367104,71901.5321098,0.0,10000024.434,100000083.253,100
170,0.999998930693,9.79905510287e-13,61598.6805477,71204.5835894,0.0,10000028.9324,100000082.082,100
171,0.999998929166,9.76052726981e-13,61923.4507811,70312.1399965,0.0,10000023.8646,100000080.477,100
172,0.999998933679,8.58516200973e-13,59246.3378427,70962.0060777,0.0,10000015.0578,100000077.793,100
173,0.99999894594,7.91057948754e-13,56575.7753006,66496.2677484,0.0,10000013.9858,100000073.792,100
174,0.999998909324,9.33741175313e-13,61587.0097218,68676.8184945,0.0,10000024.0557,100000074.887,100
175,0.999998947598,9.0156137859e-13,58243.9936039,70134.1456892,0.0,10000031.4116,100000067.635,100
176,0.99999893302,8.78406547204e-13,57196.7403636,74814.5764738,0.0,10000043.0182,100000065.699,100
177,0.99999891222,8.28763841074e-13,57268.2293768,78865.2237025,0.0,10000037.1004,100000054.473,100
178,0.999998912981,7.24040508048e-13,55128.3019786,74614.5929658,0.0,10000022.7412,100000044.898,100
179,0.999998876543,8.81207626475e-13,61702.4229064,76291.7561123,0.0,10000027.7138,100000046.347,100
180,0.999998879571,8.2222430795e-13,60344.1728666,76520.0570062,0.0,10000026.3845,100000040.684,100
181,0.999998883386,8.36525555313e-13,60568.2084134,80084.4112192,0.0,10000025.7653,100000051.273,100
182,0.999998854874,9.20821069042e-13,64605.1952089,80420.5861816,0.0,10000026.9923,100000055.951,100
183,0.999998815635,1.04943492714e-12,70687.3610393,82858.6267226,0.0,10000031.0337,100000058.912,100
184,0.999998758713,1.09399837483e-12,75501.8201499,92215.8247325,0.0,10000036.7642,100000056.588,100
185,0.999998720511,1.09183109708e-12,76721.1956878,93185.8300302,0.0,10000050.8186,100000058.793,100
186,0.999998699868,1.09669483366e-12,79904.6899204,94005.2791023,0.0,10000042.0702,100000059.984,100
187,0.999998732254,9.87901088377e-13,75676.5620357,92463.0833294,0.0,10000033.0163,100000059.307,100
188,0.999998731057,1.01210497702e-12,76696.6573476,93179.5989614,0.0,10000040.882,100000054.077,100
189,0.999998695947,1.06543541269e-12,79438.7673161,90605.2357532,0.0,10000053.2605,100000056.283,100
190,0.999998704437,1.003952045e-12,77482.1778864,96550.7430825,0.0,10000058.6897,100000033.587,100
191,0.999998672112,1.0119481444e-12,79477.1238318,95139.6168166,0.0,10000062.5759,100000020.616,100
192,0.999998618761,1.03833385518e-12,83625.2535956,91909.7392815,0.0,10000071.3745,100000003.154,100
193,0.999998636354,9.59330637557e-13,81789.238846,82929.6975244,0.0,10000044.867,100000028.582,100
194,0.99999863165,9.3380888641e-13,81631.1049231,83482.1874567,0.0,10000045.0897,100000046.173,100
195,0.999998634882,9.06515193477e-13,81856.1350672,83940.492007,0.0,10000040.3766,100000039.473,100
196,0.999998598024,9.55017001238e-13,85525.3085116,82464.3883853,0.0,10000050.3433,100000044.414,100
197,0.99999861594,9.39515083058e-13,84433.0035072,80692.0981084,0.0,10000046.2022,100000049.544,100
198,0.999998649194,9.68783213693e-13,81725.5720564,81851.5290822,0.0,10000047.4923,100000067.141,100
199,0.999998636313,9.75387414789e-13,82374.6475315,82979.0773062,0.0,10000054.9945,100000065.797,100
200,0.999998628673,9.78655811556e-13,82423.4076778,81866.7448536,0.0,10000066.9056,100000058.661,100
201,0.999998597779,9.96481320886e-13,86482.2416321,82504.4234528,0.0,10000057.8688,100000057.275,100
202,0.999998606998,9.90104011147e-13,86302.9740332,76942.5072943,0.0,10000053.4605,100000050.343,100
203,0.999998570382,1.08786644031e-12,92144.1333778,81333.1029533,0.0,10000055.1866,100000055.758,100
204,0.999998577019,9.94161310154e-13,90616.782789,75013.0925363,0.0,10000047.3096,100000038.192,100
205,0.999998608713,9.47269589407e-13,86650.9729831,75749.8476705,0.0,10000056.2093,100000029.499,100
206,0.99999861841,1.01002630677e-12,87914.7179361,74675.4042731,0.0,10000052.6079,100000041.778,100
207,0.999998601615,9.82451441521e-13,89241.0654262,72829.0435187,0.0,10000044.3411,100000040.276,100
208,0.99999860309,9.51477458887e-13,88796.1143581,75704.0904332,0.0,10000040.755,100000039.927,100
209,0.999998562589,1.01364394853e-12,94672.958125,75021.6727045,0.0,10000044.6184,100000034.637,100
210,0.999998542092,1.0490873454e-12,96589.5119516,71957.7700031,0.0,10000052.0726,100000033.822,100
211,0.999998538467,9.69595449167e-13,95514.2451102,63349.2447556,0.0,10000036.0158,100000045.707,100
212,0.999998510563,9.6156271572e-13,98451.7758677,64053.3979942,0.0,10000032.0287,100000051.34,100
213,0.999998477421,9.50790959598e-13,100995.80355,59543.6474366,0.0,10000029.7253,100000045.305,100
214,0.999998529907,9.00440254484e-13,94626.7286098,60316.0570024,0.0,10000035.9908,100000043.94,100
215,0.99999851263,9.76589480617e-13,96564.8784991,57471.4271887,0.0,10000047.4047,100000040.626,100
216,0.999998529019,9.92381057081e-13,95961.2622034,57714.4395564,0.0,10000048.4344,100000035.843,100
217,0.999998543828,9.65319319632e-13,92981.2244248,57907.3209167,0.0,10000060.8896,100000031.967,100
218,0.999998555236,8.90614006628e-13,89901.9737076,59255.6812506,0.0,10000060.7188,100000029.946,100
219,0.999998600473,8.77831832419e-13,86414.8966841,56367.1282575,0.0,10000049.9738,100000036.0,100
220,0.999998619644,9.55452859322e-13,86763.7667266,63702.6508395,0.0,10000052.9165,100000038.968,100
221,0.999998688536,8.47127692019e-13,76855.2835652,61127.3154355,0.0,10000053.3192,100000029.381,100
222,0.999998686359,8.42507976453e-13,76887.9382941,61806.4779742,0.0,10000055.4349,100000027.163,100
223,0.999998712323,8.07900021866e-13,74301.94822,58945.0953375,0.0,10000045.3413,100000028.113,100
224,0.999998742882,7.41980360117e-13,70222.8144451,59235.675171,0.0,10000039.7101,100000032.565,100
225,0.999998705232,7.71189809009e-13,74852.7237995,60637.9361148,0.0,10000033.3922,100000030.438,100
226,0.999998678524,7.89483665532e-13,78430.5416478,66262.178426,0.0,10000030.9959,100000032.513,100
227,0.999998611787,8.62192797641e-13,87355.4824656,62717.8023327,0.0,10000019.1459,100000025.06,100
228,0.999998582765,8.99188729252e-13,90644.3066646,60211.896945,0.0,10000014.8841,100000028.267,100
229,0.999998621804,8.63589465357e-13,85372.1973941,59098.1078757,0.0,10000031.3343,100000018.65,100
230,0.999998616639,9.07294589619e-13,86055.069062,61728.58086,0.0,10000043.6499,100000011.181,100
231,0.999998604279,9.12212431208e-13,88065.4617559,61307.7040919,0.0,10000039.4542,100000013.036,100
232,0.999998565906,9.61530285351e-13,91621.7141652,64343.2849345,0.0,10000056.4797,100000000.057,100
233,0.999998591531,9.5597257993e-13,87461.7766042,63266.1737036,0.0,10000068.089,100000000.697,100
234,0.99999859634,9.56752843536e-13,86963.1138056,60759.3163182,0.0,10000067.5955,100000004.424,100
235,0.999998573812,9.28296603596e-13,85705.5888719,63063.8067425,0.0,10000084.7316,99999999.7986,100
236,0.999998580037,9.68040651435e-13,87946.7240589,65444.3649547,0.0,10000076.9737,100000006.102,100
237,0.999998536911,9.81325035904e-13,90758.7050568,66969.4113984,0.0,10000085.9434,100000004.526,100
238,0.999998557965,9.49094435601e-13,85295.9003791,63007.7636558,0.0,10000098.1739,99999989.2039,100
239,0.999998578934,9.36135789259e-13,80559.0748733,61756.0805155,0.0,10000108.2,99999979.7693,100
240,0.999998593231,9.44913786746e-13,81736.8137201,62226.2123716,0.0,10000099.0187,99999982.8118,100
241,0.999998580018,9.48377151108e-13,83970.2298995,61135.812872,0.0,10000094.9697,99999981.3193,100
242,0.999998521208,9.73876940656e-13,90584.2345064,70269.8984397,0.0,10000092.5825,99999990.6206,100
243,0.999998527861,9.53132706752e-13,90752.7936305,72733.7682318,0.0,10000082.191,99999997.6605,100
244,0.999998519074,9.47962373714e-13,88558.2038209,71662.5061838,0.0,10000097.9148,99999989.408,100
245,0.999998497756,9.20276246757e-13,87376.1196571,73492.316891,0.0,10000108.0544,99999979.2652,100
246,0.999998495916,9.21208163046e-13,89063.5946066,73891.3037633,0.0,10000099.6319,99999989.8883,100
247,0.999998518287,9.64822026283e-13,88069.8880656,67909.0791992,0.0,10000095.354,100000004.348,100
248,0.999998492074,9.7219491216e-13,90736.8799949,68343.7280796,0.0,10000092.6158,100000005.52,100
249,0.999998504995,1.01127615947e-12,92764.8243174,66198.7148813,0.0,10000080.9598,100000012.386,100
250,0.999998538242,1.00352569519e-12,89173.4746811,69792.2829144,0.0,10000082.315,100000007.972,100
251,0.999998553613,1.05098162544e-12,87875.2779484,72491.3216872,0.0,10000089.3476,100000012.682,100
252,0.999998544502,1.08843349202e-12,90087.920847,74969.5504409,0.0,10000089.5862,100000002.942,100
253,0.999998550018,1.05771638335e-12,87208.3884842,73524.3007566,0.0,10000096.8974,99999993.3172,100
254,0.999998493153,1.11974207746e-12,92242.6749217,72614.4463154,0.0,10000106.4939,99999990.7144,100
255,0.999998509172,1.13928742067e-12,92957.2643492,73962.4464466,0.0,10000093.2039,100000002.155,100
256,0.999998439478,1.15810363651e-12,99373.25589,74274.0947542,0.0,10000097.7618,99999988.5341,100
257,0.999998418292,1.1472394061e-12,99139.6270036,72201.2938795,0.0,10000108.5083,99999976.9825,100
258,0.999998416048,1.13196585568e-12,102949.146812,71935.2803377,0.0,10000089.1825,99999980.3513,100
259,0.999998422847,1.11244140198e-12,103586.818311,73354.4401243,0.0,10000083.6356,99999990.7996,100
260,0.999998448369,1.06080083777e-12,99318.1970736,74714.1575952,0.0,10000085.2121,99999985.9342,100
261,0.99999844842,1.02729976072e-12,98236.3296863,75336.4459648,0.0,10000087.198,99999977.0845,100
262,0.999998437509,1.05799627604e-12,100132.216599,73102.3442254,0.0,10000084.6697,99999971.8876,100
263,0.999998451479,1.02332846342e-12,94090.3720863,74542.2646782,0.0,10000102.3197,99999997.4251,100
264,0.999998470902,9.87154094995e-13,90344.6724156,73744.6905961,0.0,10000098.5241,99999993.6996,100
265,0.999998447878,9.50042046732e-13,92131.5970358,73710.6034365,0.0,10000096.1446,100000003.091,100
266,0.999998409382,9.91030568247e-13,98762.9859396,71434.8495028,0.0,10000084.9951,99999994.9774,100
